name,slug,id,tmsid,callSign,time_shift
The World Poker Tour,the-world-poker-tour,635177ecff6cd5445d7f9b0b-5f6b8e7900b0950040d0f2b2,135701,,
The World Poker Tour,the-world-poker-tour-3,635177ecff6cd5445d7f9b0b-656fa24bdbcce28c3a417415,135702,,
